t[s],CH1,CH2
2.752,1.0,1.096
2.754,1.0,1.08
2.756,1.0,1.064
2.758,0.8,1.048
2.76,1.0,1.04
2.762,1.0,1.016
2.764,1.0,1.0
2.766,1.0,0.984
2.768,1.0,0.96
2.77,1.0,0.936
2.772,1.0,0.912
2.774,1.0,0.904
2.776,1.2,0.896
2.778,1.2,0.872
2.78,1.2,0.848
2.782,1.0,0.84
2.784,1.0,0.824
2.786,1.2,0.8
2.788,1.2,0.784
2.79,1.2,0.768
2.792,1.2,0.76
2.794,1.2,0.744
2.796,1.2,0.72
2.798,1.2,0.696
2.8,1.2,0.688
2.802,1.2,0.688
2.804,1.2,0.672
2.806,1.2,0.648
2.808,1.2,0.632
2.81,1.2,0.616
2.812,1.4,0.6
2.814,1.4,0.584
2.816,1.2,0.576
2.818,1.2,0.56
2.82,1.2,0.544
2.822,1.4,0.536
2.824,1.4,0.528
2.826,1.4,0.504
2.828,1.4,0.496
2.83,1.4,0.488
2.832,1.4,0.472
2.834,1.4,0.464
2.836,1.4,0.464
2.838,1.6,0.448
2.84,1.4,0.432
2.842,1.6,0.424
2.844,1.4,0.416
2.846,1.6,0.4
2.848,1.4,0.392
2.85,1.4,0.376
2.852,1.4,0.368
2.854,1.6,0.36
2.856,1.6,0.352
2.858,1.6,0.344
2.86,1.6,0.336
2.862,1.6,0.328
2.864,1.6,0.312
2.866,1.6,0.304
2.868,1.6,0.304
2.87,1.6,0.296
2.872,1.6,0.288
2.874,1.8,0.288
2.876,1.6,0.28
2.878,1.6,0.264
2.88,1.6,0.264
2.882,1.6,0.256
2.884,1.6,0.248
2.886,1.6,0.24
2.888,1.6,0.24
2.89,1.6,0.232
2.892,1.8,0.224
2.894,1.8,0.216
2.896,1.8,0.216
2.898,1.8,0.208
2.9,1.8,0.208
2.902,1.8,0.2
2.904,1.8,0.2
2.906,1.8,0.192
2.908,1.8,0.184
2.91,1.8,0.176
2.912,2.0,0.176
2.914,1.8,0.168
2.916,2.0,0.168
2.918,2.0,0.16
2.92,2.0,0.16
2.922,1.8,0.16
2.924,2.0,0.152
2.926,2.0,0.144
2.928,2.0,0.144
2.93,2.0,0.144
2.932,2.0,0.144
2.934,2.0,0.144
2.936,2.0,0.136
2.938,2.0,0.128
2.94,2.0,0.128
2.942,2.0,0.128
2.944,2.0,0.128
2.946,2.0,0.128
2.948,2.0,0.12
2.95,2.0,0.12
2.952,2.0,0.112
2.954,2.2,0.112
2.956,2.2,0.112
2.958,2.2,0.112
2.96,2.0,0.112
2.962,2.2,0.104
2.964,2.2,0.104
2.966,2.2,0.096
2.968,2.2,0.096
2.97,2.2,0.096
2.972,2.2,0.096
2.974,2.2,0.088
2.976,2.2,0.096
2.978,2.4,0.096
2.98,2.2,0.096
2.982,2.2,0.088
2.984,2.2,0.088
2.986,2.4,0.08
2.988,2.4,0.08
2.99,2.2,0.08
2.992,2.4,0.08
2.994,2.4,0.08
2.996,2.4,0.08
2.998,2.4,0.08
3.0,2.4,0.08
3.002,2.4,0.08
3.004,2.4,0.072
3.006,2.4,0.072
3.008,2.4,0.072
3.01,2.4,0.072
3.012,2.4,0.072
3.014,2.4,0.072
3.016,2.6,0.072
3.018,2.4,0.072
3.02,2.4,0.072
3.022,2.6,0.072
3.024,2.6,0.064
3.026,2.6,0.064
3.028,2.6,0.064
3.03,2.6,0.064
3.032,2.6,0.056
3.034,2.6,0.064
3.036,2.6,0.064
3.038,2.8,0.064
3.04,2.8,0.064
3.042,2.8,0.056
3.044,2.6,0.056
3.046,2.6,0.056
3.048,2.8,0.056
3.05,2.8,0.056
3.052,2.8,0.056
3.054,2.6,0.056
3.056,2.8,0.056
3.058,2.8,0.056
3.06,2.8,0.056
3.062,2.8,0.056
3.064,2.8,0.056
3.066,2.8,0.048
3.068,2.8,0.056
3.07,2.8,0.056
3.072,2.8,0.048
3.074,2.8,0.048
3.076,2.8,0.048
3.078,2.8,0.048
3.08,2.8,0.048
3.082,2.8,0.048
3.084,2.8,0.048
3.086,2.8,0.048
3.088,3.0,0.048
3.09,2.8,0.04
3.092,2.8,0.048
3.094,3.0,0.04
3.096,3.0,0.048
3.098,3.0,0.04
3.1,3.0,0.04
3.102,3.0,0.04
3.104,3.0,0.04
3.106,3.0,0.04
3.108,3.0,0.04
3.11,3.0,0.032
3.112,3.0,0.04
3.114,3.2,0.04
3.116,3.0,0.04
3.118,3.0,0.04
3.12,3.0,0.04
3.122,3.0,0.032
3.124,3.2,0.04
3.126,3.0,0.032
3.128,3.0,0.04
3.13,3.2,0.032
3.132,3.2,0.032
3.134,3.2,0.032
3.136,3.2,0.032
3.138,3.2,0.032
3.14,3.2,0.032
3.142,3.2,0.04
3.144,3.2,0.032
3.146,3.2,0.032
3.148,3.2,0.032
3.15,3.2,0.032
3.152,3.2,0.032
3.154,3.2,0.032
3.156,3.2,0.032
3.158,3.4,0.032
3.16,3.4,0.032
3.162,3.4,0.032
3.164,3.4,0.032
3.166,3.4,0.032
3.168,3.4,0.032
3.17,3.4,0.032
3.172,3.4,0.032
3.174,3.4,0.032
3.176,3.4,0.032
3.178,3.4,0.032
3.18,3.4,0.032
3.182,3.4,0.032
3.184,3.4,0.032
3.186,3.4,0.024
3.188,3.6,0.032
