t[s],CH1,CH2
1.438,2.4,0.024
1.44,2.4,0.024
1.442,2.4,0.024
1.444,2.4,0.024
1.446,2.4,0.016
1.448,2.4,0.024
1.45,2.4,0.024
1.452,2.4,0.024
1.454,2.4,0.024
1.456,2.4,0.024
1.458,2.6,0.024
1.46,2.6,0.024
1.462,2.6,0.016
1.464,2.6,0.024
1.466,2.4,0.024
1.468,2.6,0.024
1.47,2.6,0.024
1.472,2.6,0.016
1.474,2.6,0.024
1.476,2.6,0.032
1.478,2.6,0.024
1.48,2.6,0.024
1.482,2.6,0.024
1.484,2.6,0.024
1.486,2.8,0.024
1.488,2.6,0.032
1.49,2.6,0.032
1.492,2.8,0.032
1.494,2.8,0.032
1.496,2.8,0.024
1.498,2.8,0.032
1.5,2.8,0.032
1.502,2.8,0.032
1.504,2.8,0.032
1.506,2.8,0.032
1.508,2.8,0.032
1.51,2.8,0.032
1.512,2.8,0.032
1.514,2.8,0.032
1.516,2.8,0.032
1.518,2.8,0.032
1.52,2.8,0.032
1.522,2.8,0.032
1.524,3.0,0.032
1.526,2.8,0.032
1.528,3.0,0.032
1.53,2.8,0.032
1.532,2.8,0.032
1.534,3.0,0.032
1.536,3.0,0.032
1.538,3.0,0.032
1.54,3.0,0.032
1.542,3.0,0.032
1.544,3.0,0.032
1.546,3.0,0.04
1.548,3.0,0.032
1.55,3.0,0.032
1.552,3.0,0.032
1.554,3.0,0.032
1.556,3.0,0.032
1.558,3.2,0.032
1.56,3.0,0.04
1.562,3.0,0.04
1.564,3.2,0.04
1.566,3.0,0.04
1.568,3.2,0.04
1.57,3.2,0.048
1.572,3.2,0.04
1.574,3.2,0.048
1.576,3.2,0.048
1.578,3.2,0.048
1.58,3.2,0.048
1.582,3.2,0.048
1.584,3.2,0.048
1.586,3.2,0.048
1.588,3.2,0.048
1.59,3.2,0.056
1.592,3.2,0.048
1.594,3.4,0.056
1.596,3.2,0.048
1.598,3.4,0.056
1.6,3.4,0.056
1.602,3.2,0.056
1.604,3.4,0.056
1.606,3.4,0.056
1.608,3.4,0.056
1.61,3.4,0.064
1.612,3.4,0.056
1.614,3.4,0.064
1.616,3.4,0.064
1.618,3.6,0.064
1.62,3.4,0.064
1.622,3.4,0.072
1.624,3.6,0.064
1.626,3.6,0.072
1.628,3.6,0.064
1.63,3.4,0.072
1.632,3.6,0.064
1.634,3.6,0.072
1.636,3.6,0.072
1.638,3.6,0.072
1.64,3.6,0.072
1.642,3.6,0.072
1.644,3.6,0.08
1.646,3.6,0.08
1.648,3.6,0.08
1.65,3.6,0.072
1.652,3.6,0.08
1.654,3.6,0.08
1.656,3.6,0.08
1.658,3.6,0.08
1.66,3.6,0.08
1.662,3.6,0.08
1.664,3.6,0.088
1.666,3.8,0.088
1.668,3.8,0.088
1.67,3.8,0.08
1.672,3.8,0.088
1.674,3.8,0.088
1.676,3.8,0.088
1.678,3.8,0.088
1.68,3.8,0.096
1.682,3.8,0.104
1.684,3.8,0.104
1.686,3.8,0.104
1.688,3.8,0.096
1.69,3.8,0.112
1.692,3.6,0.112
1.694,3.8,0.112
1.696,4.0,0.12
1.698,4.0,0.12
1.7,4.0,0.136
1.702,4.0,0.136
1.704,4.0,0.144
1.706,4.0,0.144
1.708,4.0,0.152
1.71,4.0,0.152
1.712,4.0,0.168
1.714,4.0,0.168
1.716,4.0,0.176
1.718,4.0,0.184
1.72,4.0,0.192
1.722,4.0,0.2
1.724,4.0,0.216
1.726,4.2,0.224
1.728,4.0,0.216
1.73,4.2,0.232
1.732,4.0,0.232
1.734,4.0,0.248
1.736,4.0,0.256
1.738,4.0,0.264
1.74,4.0,0.272
1.742,4.0,0.28
1.744,4.0,0.288
1.746,4.2,0.296
1.748,4.2,0.312
1.75,4.2,0.312
1.752,4.4,0.336
1.754,4.2,0.336
1.756,4.2,0.368
1.758,4.4,0.368
1.76,4.2,0.376
1.762,4.2,0.392
1.764,4.4,0.408
1.766,4.4,0.424
1.768,4.4,0.432
1.77,4.4,0.448
1.772,4.4,0.448
1.774,4.4,0.464
1.776,4.4,0.456
1.778,4.4,0.48
1.78,4.4,0.496
1.782,4.4,0.504
1.784,4.4,0.52
1.786,4.4,0.544
1.788,4.4,0.56
1.79,4.4,0.568
1.792,4.4,0.592
1.794,4.4,0.592
